X,Y,scalerank,featurecla,name,natlscale
12.9024735,43.92083333,8,Port,Pesaro,5
8.392167256,40.84361111,8,Port,Porto Torres,5
12.25035336,44.46222222,8,Port,Ravenna,5
15.28757362,37.06611111,8,Port,Siracusa,5
17.18898704,40.48805556,8,Port,Taranto,5
14.44287397,40.75,8,Port,Torre Annunziata,5
129.9503534,32.90166667,8,Port,Omura,5
135.3833333,34.69138889,8,Port,Amagasaki,5
137.1084806,36.77583333,8,Port,Fushiki,5
133.0061837,34.06805556,8,Port,Imabari,5
132.2352768,34.17694444,8,Port,Iwakuni,5
135.188457,34.15305556,8,Port,Kainan,5
136.6065371,36.61694444,8,Port,Kanazawa,5
139.7437574,35.50638889,8,Port,Kawasaki,5
130.8735571,33.90833333,8,Port,Kokura,5
135.3852768,35.48166667,8,Port,Maizuru,5
136.5533569,34.60805556,8,Port,Matsusaka,5
135.193404,35.54333333,8,Port,Miyazu,5
140.9540636,42.33583333,8,Port,Muroran,5
139.1247939,37.955,8,Port,Niigata,5
131.8693168,33.25138889,8,Port,Saganoseki,5
129.7077739,33.15694444,8,Port,Sasebo,5
138.509894,35.01444444,8,Port,Shimizu,5
135.1333333,34.11638889,8,Port,Shimotsu,5
135.1270907,34.22305556,8,Port,Wakayama,5
139.654417,35.30444444,8,Port,Yokosuka,5
80.22497055,6.033333333,8,Port,Galle,5
21.53704358,57.40305556,8,Port,Ventspils,5
-92.65212014,18.53027778,8,Port,Frontera,5
-94.53457008,17.97583333,8,Port,Minatitlan,5
-94.40053004,18.1275,8,Port,Pajaritos,5
-112.2584806,27.33916667,8,Port,Santa Rosalia,5
-89.67055359,21.31361111,8,Port,Progreso,5
-97.37055359,20.94055556,8,Port,Tuxpan,5
103.4591873,4.249444444,8,Port,Kemaman,5
4.78368669,52.95805556,8,Port,Den Helder,5
4.651413428,51.80583333,8,Port,Dordrecht,5
6.955477032,53.32055556,8,Port,Delfzijl,5
8.757420495,58.45416667,8,Port,Arendal,5
10.22497055,59.73666667,8,Port,Drammen,5
11.37532391,59.11805556,8,Port,Halden,5
16.54163722,68.78916667,8,Port,Harstad,5
10.02550059,59.04527778,8,Port,Larvik,5
10.65282686,59.43222222,8,Port,Moss,5
10.22497055,59.12361111,8,Port,Sandefjord,5
10.404947,59.265,8,Port,Tonsberg,5
172.7102473,-43.60611111,8,Port,Lyttelton,5
59.42055359,22.65666667,8,Port,Qalhat,5
56.73792697,24.37833333,8,Port,Sohar,5
-79.56878681,8.955555556,8,Port,Balboa,5
-79.90477032,9.350277778,8,Port,Cristobal,5
-82.43457008,8.365,8,Port,Pedregal,5
-77.1418139,-12.04527778,8,Port,Callao,5
-72.10424028,-16.99777778,8,Port,Matarani,5
14.26861013,53.905,8,Port,Swinoujscie,5
-8.692873969,41.185,8,Port,Leixoes,5
-8.821436985,38.48972222,8,Port,Setubal,5
-8.7196702,40.64361111,8,Port,Aveiro,5
-8.823027091,41.68638889,8,Port,Viana do Castelo,5
28.08386337,45.44166667,8,Port,Galati,5
132.9075972,42.80472222,8,Port,Nakhodka,5
32.404947,67.135,8,Port,Kandalaksha,5
142.0400471,47.05055556,8,Port,Kholmsk,5
142.7584806,46.62666667,8,Port,Korsakov,5
29.76737338,59.98694444,8,Port,Kronshtadt,5
132.8861602,42.8,8,Port,Nakhodka,5
37.80441696,44.715,8,Port,Novorossiysk,5
39.06666667,44.09194444,8,Port,Tuapse,5
49.67090695,27.02861111,8,Port,Jubail,5
49.67302709,27.08777778,8,Port,Jubail,5
48.52249706,28.415,8,Port,Ras al Khafji,5
12.47638398,56.88944444,8,Port,Falkenberg,5
14.30547703,55.92555556,8,Port,Ahus,5
17.93881037,62.64083333,8,Port,Harnosand,5
12.54146054,56.19861111,8,Port,Hoganas,5
14.85830389,56.1625,8,Port,Karlshamn,5
15.58598351,56.16,8,Port,Karlskrona,5
17.95812721,58.91333333,8,Port,Nynashamn,5
16.47073027,57.265,8,Port,Oskarshamn,5
17.10795053,58.66166667,8,Port,Oxelosund,5
21.47037691,65.30888889,8,Port,Pitea,5
17.65918728,59.16972222,8,Port,Sodertalje,5
13.15159011,55.36805556,8,Port,Trelleborg,5
11.90477032,58.34805556,8,Port,Uddevalla,5
13.82073027,55.42138889,8,Port,Ystad,5
100.5849234,13.69583333,8,Port,Bangkok,5
100.8909305,13.07388889,8,Port,Laem Chabang,5
100.9186101,13.17138889,8,Port,Sriracha,5
-61.48951708,10.38833333,8,Port,Point Lisas,5
34.64057715,36.79694444,8,Port,Mersin,5
36.77320377,46.75138889,8,Port,Berdyansk,5
36.48563015,45.355,8,Port,Kerch,5
-122.3590106,37.91388889,8,Port,Richmond,5
-75.51984688,39.71666667,8,Port,Wilmington,5
-70.96896349,42.24138889,8,Port,Quincy,5
-159.3530035,21.95388889,8,Port,Nawiliwili,5
-121.888987,36.60555556,8,Port,Monterey,5
-77.95265018,34.19194444,8,Port,Wilmington,5
-75.12267373,39.90361111,8,Port,Gloucester City,5
-74.1024735,40.6625,8,Port,Bayonne,5
-76.55565371,39.2325,8,Port,Baltimore,5
-81.55918728,30.38083333,8,Port,Jacksonville,5
-76.4262073,36.98055556,8,Port,Newport News,5
-93.95706714,29.84305556,8,Port,Port Arthur,5
-76.28828033,36.81666667,8,Port,Portsmouth,5
-77.95265018,34.19194444,8,Port,Wilmington,5
-93.95706714,29.84305556,8,Port,Port Arthur,5
-77.03722026,38.80111111,8,Port,Alexandria,5
-76.4262073,36.98055556,8,Port,Newport News,5
-122.6086572,47.65138889,8,Port,Brownsville,5
-122.7038869,45.63472222,8,Port,Vancouver,5
-64.59040047,10.24916667,8,Port,Guanta,5
121.725837,25.22076014,8,Port,Keelung,5
-13.62395438,28.94896484,8,Port,Arrecife,5
-64.9284153,18.33212322,8,Port,St Thomas,5
-62.7500025,17.27882702,8,Port,Basseterre,5
-90.05637124,29.93419997,8,Port,New Orleans,5
-78.72766362,26.53841063,8,Port,Freeport,5
-77.56,44.1,8,Port,Trenton,5
-81.73,43.75,8,Port,Goderich,5
-79.91,44.75,8,Port,Midland,5
-86.48,42.11,8,Port,St Joseph,5
-87.78,42.73,8,Port,Racine,5
-87.6,45.1,8,Port,Menominee,5
-87.05,45.76,8,Port,Escanaba,5
-121.5,38.58,8,Port,Sacramento,5
1.73,52.61,8,Port,Great Yarmouth,5
-2.96,56.46,8,Port,Dundee,5
-3.83,57.83,8,Port,Portmahomack Harbor,5
-3.08,58.43,8,Port,Wick,5
-5.46,56.41,8,Port,Oban,5
-4.46,54.15,8,Port,Douglas,5
-7.31,55,8,Port,Londonderry,5
-3.4,54.86,8,Port,Silloth,5
13.09375736,-7.833055556,7,Port,Ambriz,10
12.19022379,-5.55,7,Port,Cabinda,10
12.32037691,-6.121388889,7,Port,Soyo,10
19.45300353,41.30777778,7,Port,Durres,10
-68.91825677,12.11916667,7,Port,Curacao,10
56.3565371,25.17833333,7,Port,Al Fujayrah,10
-67.50848057,-46.43305556,7,Port,Caleta Olivia,10
-65.9040636,-47.75555556,7,Port,Puerto Deseado,10
-69.21825677,-51.61166667,7,Port,Rio Gallegos,10
-67.7024735,-53.79444444,7,Port,Rio Grande,10
-67.71896349,-49.29972222,7,Port,San Julian,10
153.1414605,-30.3075,7,Port,Coffs Harbour,10
121.893404,-33.87194444,7,Port,Esperance,10
137.7567138,-32.48861111,7,Port,Port Augusta,10
148.25053,-20.02083333,7,Port,Bowen,10
152.388457,-24.76722222,7,Port,Bundaberg,10
139.737927,-17.55361111,7,Port,Burketown,10
113.642874,-24.895,7,Port,Carnarvon,10
145.2437574,-15.45972222,7,Port,Cooktown,10
123.6051237,-17.29222222,7,Port,Derby,10
149.9053004,-37.07194444,7,Port,Eden,10
146.8202002,-41.10972222,7,Port,George Town,10
114.6007067,-28.77277778,7,Port,Geraldton,10
140.8333333,-17.48944444,7,Port,Karumba,10
137.6395171,-35.655,7,Port,Kingscote,10
152.9060071,-25.295,7,Port,Maryborough,10
145.3205536,-42.15833333,7,Port,Strahan,10
89.58598351,22.48694444,7,Port,Mongla,10
-37.03951708,-10.92527778,7,Port,Aracaju,10
-38.52143698,-3.7175,7,Port,Fortaleza,10
-51.04269729,0.032222222,7,Port,Macapa,10
-48.65424028,-26.89888889,7,Port,Navegantes,10
-52.3237338,-31.78194444,7,Port,Pelotas,10
-125.2386337,50.03194444,7,Port,Campbell River,10
-60.34234393,53.38444444,7,Port,Goose Bay,10
-132.1411072,54.00666667,7,Port,Masset,10
-67.57126031,48.84194444,7,Port,Matane,10
-84.54305065,73.06861111,7,Port,Nanisivik,10
-65.83492344,48.13861111,7,Port,New Richmond,10
-127.4836867,50.72111111,7,Port,Port Hardy,10
-61.35565371,45.61,7,Port,Port Hawkesbury,10
-123.1666667,49.68305556,7,Port,Squamish,10
-58.54075383,48.53527778,7,Port,Stephenville,10
-129.9895171,55.92861111,7,Port,Stewart,10
-126.6540636,49.9175,7,Port,Tahsis,10
-131.8196702,53.25527778,7,Port,Sandspit,10
-132.9858068,69.43138889,7,Port,Tuktoyaktuk,10
-73.82567727,-41.86861111,7,Port,Ancud,10
-73.76684335,-42.48277778,7,Port,Castro,10
-70.6343934,-26.35055556,7,Port,Chanaral,10
-72.50936396,-51.73111111,7,Port,Puerto Natales,10
-70.48457008,-25.39722222,7,Port,Taltal,10
113.6710836,22.64027778,7,Port,Guangzhou,10
120.2212603,31.93194444,7,Port,Jiangyin,10
119.4084806,34.74527778,7,Port,Lianyungang,10
109.50053,18.23972222,7,Port,Sanya,10
110.4063604,21.16972222,7,Port,Zhanjiang,10
122.1026502,30.00333333,7,Port,Zhoushan,10
-6.617020024,4.743055556,7,Port,San-Pedro,10
-75.52567727,10.40333333,7,Port,Cartagena,10
-75.5852768,9.520277778,7,Port,Tolu,10
-78.75954064,1.813055556,7,Port,Tumaco,10
-76.73386337,8.087777778,7,Port,Turbo,10
-74.50229682,20.35305556,7,Port,Baracoa,10
-75.55088339,20.71333333,7,Port,Nicaro,10
-82.79322733,21.90333333,7,Port,Nueva Gerona,10
7.891283863,54.1775,7,Port,Helgoland,10
10.86825677,53.95222222,7,Port,Travemunde,10
8.692167256,56.95277778,7,Port,Thisted,10
-80.72090695,-0.935555556,7,Port,Manta,10
-79.64269729,0.989444444,7,Port,Esmeraldas,10
-13.85883392,28.74138889,7,Port,Corralejo,10
-5.310424028,35.89027778,7,Port,Ceuta,10
-2.922850412,35.28,7,Port,Melilla,10
-17.10512367,28.08805556,7,Port,San Sebastian de la Gomera,10
-17.76666667,28.67583333,7,Port,Santa Cruz de La Palma,10
24.4746172,58.38111111,7,Port,Parnu,10
27.68987044,62.88833333,7,Port,Kuopio,10
29.77709069,62.60444444,7,Port,Joensuu,10
27.87479388,62.3125,7,Port,Varkaus,10
179.309364,-16.81777778,7,Port,Savusavu,10
-1.620376914,49.64638889,7,Port,Cherbourg,10
-0.326383981,49.19055556,7,Port,Caen,10
8.755300353,42.56583333,7,Port,Calvi,10
8.900353357,41.67694444,7,Port,Propriano,10
-4.108127208,47.98944444,7,Port,Quimper,10
-2.756360424,47.64388889,7,Port,Vannes,10
138.1194935,9.513333333,7,Port,Yap,10
-2.707773852,51.49888889,7,Port,Bristol,10
-0.285100118,53.74361111,7,Port,Hull,10
-1.590930506,54.965,7,Port,Newcastle upon Tyne,10
-1.440930506,54.99444444,7,Port,Tyne,10
0.685806832,51.43472222,7,Port,Rochester,10
0.007420495,5.631944444,7,Port,Tema,10
25.88916372,40.84138889,7,Port,Alexandroupolis,10
27.28987044,36.89444444,7,Port,Kos,10
25.15070671,37.08777778,7,Port,Paros,10
26.96666667,37.75444444,7,Port,Samos,10
-45.23810365,60.13972222,7,Port,Nanortalik,10
-69.23510012,77.46694444,7,Port,Qaanaaq,10
-57.52179034,6.237777778,7,Port,New Amsterdam,10
-86.75689046,15.79388889,7,Port,La Ceiba,10
-87.45583039,15.78388889,7,Port,Tela,10
14.45759717,44.53833333,7,Port,Mali Losinj,10
-72.53598351,18.23166667,7,Port,Jacmel,10
-74.10706714,18.64361111,7,Port,Jeremie,10
131.0203769,-1.3075,7,Port,Sorong,10
97.14287397,5.166666667,7,Port,Lhokseumawe,10
117.654947,4.145555556,7,Port,Nunukan,10
105.3070671,-5.460277778,7,Port,Panjang,10
106.8904005,-6.101388889,7,Port,Tanjung Priok,10
74.80742049,12.92694444,7,Port,Mangalore,10
69.58739694,21.63944444,7,Port,Porbandar,10
73.27179034,17.00194444,7,Port,Ratnagiri,10
-9.456183746,51.68055556,7,Port,Bantry,10
-6.456183746,52.34111111,7,Port,Wexford,10
48.18545347,30.4325,7,Port,Khorramshahr,10
-14.28651355,64.66055556,7,Port,Djupivogur,10
-14.00883392,64.92972222,7,Port,Faskrudsfjordur,10
-15.94146054,66.45638889,7,Port,Raufarhofn,10
11.93792697,36.83333333,7,Port,Pantelleria,10
15.09093051,37.49583333,7,Port,Catania,10
12.23545347,41.75583333,7,Port,Fiumicino,10
12.6024735,35.49916667,7,Port,Lampedusa,10
15.92532391,41.62416667,7,Port,Manfredonia,10
-77.10671378,18.41027778,7,Port,Ocho Rios,10
-76.45176678,18.18111111,7,Port,Port Antonio,10
130.9856302,30.73166667,7,Port,Nishinoomote,10
140.0398704,39.76222222,7,Port,Akita,10
141.5235571,40.54583333,7,Port,Hachinohe,10
124.1512367,24.33555556,7,Port,Ishigaki,10
